List1,List2,List3
115,6,4.0
101,6,3.0
72,7,5.0
310,6,3.0
207,41,4.0
61,65,4.0
1,0,2.0
0,1,2.0
122,99,5.0
31,31,4.0
3,2,4.0
144,2,5.0
200,55,3.0
140,45,2.0
6,2,4.0
6,6,5.0
316,41,5.0
91,57,3.0
76,54,2.0
101,7,4.0
99,42,3.0
239,2,3.0
0,3,3.0
136,64,4.0
261,42,2.0
78,45,5.0
179,117,5.0
15,0,4.0
0,2,5.0
72,41,4.0
57,78,3.0
0,0,3.0
18,7,5.0
276,41,5.0
184,55,5.0
11,4,3.0
268,196,3.0
308,52,5.0
23,0,5.0
141,42,5.0
237,45,4.0
251,52,3.0
20,5,1.0
6,3,1.0
282,231,1.0
267,2,5.0
70,52,2.0
85,57,4.0
62,78,4.0
6,3,2.0
277,219,4.0
95,84,1.0
204,45,2.0
283,55,2.0
285,234,5.0
0,1,2.0
0,7,4.0
201,150,4.0
321,58,4.0
23,3,2.0
208,6,5.0
161,67,4.0
68,58,4.0
6,7,2.0
109,41,3.0
23,7,3.0
66,55,3.0
208,55,5.0
221,189,3.0
8,0,1.0
140,55,5.0
172,127,5.0
307,7,5.0
120,7,3.0
0,6,4.0
6,0,5.0
239,45,4.0
0,7,5.0
220,55,5.0
63,6,5.0
6,2,4.0
298,41,5.0
295,41,4.0
90,45,5.0
307,242,4.0
293,43,3.0
165,57,4.0
214,6,4.0
67,55,4.0
222,52,4.0
10,0,5.0
298,45,5.0
188,7,1.0
301,41,3.0
255,45,4.0
61,49,4.0
154,77,4.0
221,47,4.0
23,6,5.0
214,7,3.0
140,111,5.0
11,6,5.0
3,0,3.0
242,41,3.0
20,7,3.0
6,1,1.0
208,42,5.0
30,28,1.0
68,183,5.0
270,137,5.0
165,55,5.0
3,5,1.0
1,2,2.0
6,6,5.0
13,4,3.0
145,41,4.0
103,61,1.0
3,5,2.0
201,156,3.0
293,91,3.0
2,0,1.0
22,0,5.0
307,129,5.0
0,5,4.0
16,5,2.0
3,6,5.0
173,7,2.0
128,49,1.0
227,2,5.0
294,7,3.0
107,55,3.0
266,52,4.0
139,14,2.0
29,14,4.0
23,2,5.0
3,5,2.0
92,7,2.0
88,55,3.0
119,39,5.0
253,7,4.0
0,7,4.0
6,3,1.0
201,175,1.0
96,55,5.0
0,1,1.0
13,4,1.0
201,55,5.0
134,59,4.0
23,0,3.0
23,2,5.0
134,45,4.0
311,38,5.0
246,45,4.0
2,3,1.0
128,78,5.0
247,41,2.0
128,57,4.0
6,0,5.0
101,2,4.0
140,41,1.0
0,3,2.0
132,7,5.0
237,41,4.0
37,17,1.0
254,7,1.0
76,45,1.0
201,153,3.0
116,45,4.0
106,68,4.0
69,68,1.0
201,163,4.0
3,5,1.0
90,6,2.0
267,42,1.0
22,0,3.0
23,0,2.0
68,184,5.0
95,45,4.0
107,54,4.0
161,55,5.0
307,41,3.0
290,2,4.0
6,0,2.0
23,6,4.0
53,55,4.0
173,52,5.0
247,2,2.0
0,3,2.0
55,45,5.0
148,49,5.0
99,41,3.0
108,74,5.0
0,1,2.0
280,41,3.0
6,7,3.0
286,6,4.0
113,45,2.0
317,45,1.0
152,41,4.0
151,2,5.0
121,100,5.0
183,2,5.0
119,66,5.0
293,2,5.0
290,41,3.0
171,42,5.0
3,2,3.0
34,47,4.0
273,55,3.0
72,55,5.0
0,1,2.0
300,45,1.0
129,67,4.0
196,41,3.0
0,4,4.0
116,67,4.0
62,55,5.0
42,6,5.0
269,58,5.0
290,7,4.0
18,7,5.0
183,7,3.0
268,193,4.0
64,7,3.0
269,208,4.0
23,6,5.0
75,55,4.0
21,4,5.0
241,52,3.0
129,7,5.0
33,7,4.0
35,48,3.0
268,202,5.0
311,78,4.0
0,1,1.0
81,11,4.0
101,45,4.0
97,36,3.0
68,125,5.0
177,41,3.0
81,93,5.0
314,52,3.0
11,2,1.0
96,45,4.0
235,45,1.0
134,42,3.0
8,5,1.0
51,75,4.0
190,55,5.0
5,4,5.0
7,7,1.0
169,45,5.0
8,2,5.0
129,43,5.0
180,2,4.0
3,7,4.0
9,7,1.0
127,42,4.0
23,7,4.0
80,74,5.0
185,133,5.0
305,6,1.0
11,5,4.0
285,45,4.0
17,0,3.0
80,90,5.0
201,154,3.0
282,7,3.0
89,55,4.0
0,5,1.0
61,52,4.0
0,6,2.0
195,41,2.0
6,7,5.0
1,2,2.0
215,42,4.0
15,7,5.0
173,2,2.0
23,0,3.0
23,7,3.0
237,42,5.0
123,42,4.0
59,66,4.0
140,42,1.0
20,5,2.0
0,3,4.0
32,36,5.0
85,65,5.0
23,2,5.0
18,3,2.0
285,55,4.0
131,66,4.0
134,60,5.0
6,5,1.0
214,42,2.0
296,6,5.0
269,52,5.0
222,6,3.0
12,1,2.0
140,6,2.0
15,4,1.0
106,6,1.0
238,41,2.0
23,1,2.0
46,71,5.0
171,41,5.0
18,5,1.0
15,0,2.0
99,55,5.0
76,52,4.0
172,126,5.0
43,65,5.0
271,52,5.0
236,6,4.0
176,45,2.0
19,1,3.0
241,2,5.0
140,112,5.0
300,42,2.0
190,6,4.0
0,3,3.0
4,7,5.0
3,0,4.0
101,63,4.0
275,6,3.0
147,42,3.0
141,35,4.0
23,4,3.0
113,7,3.0
157,6,5.0
6,1,3.0
282,228,1.0
8,1,1.0
11,1,2.0
283,52,3.0
77,52,4.0
246,52,4.0
266,238,4.0
6,6,3.0
40,7,5.0
32,45,4.0
132,45,4.0
13,0,5.0
154,7,4.0
245,70,4.0
180,6,2.0
236,109,5.0
23,3,2.0
10,4,3.0
0,2,5.0
317,20,5.0
149,2,3.0
23,0,4.0
178,55,4.0
8,2,5.0
15,4,2.0
8,3,2.0
192,138,5.0
10,4,2.0
259,42,1.0
302,6,4.0
163,37,3.0
0,0,4.0
6,0,3.0
127,41,5.0
184,42,5.0
93,54,4.0
269,215,4.0
9,0,5.0
2,0,1.0
97,97,5.0
57,6,3.0
70,78,2.0
78,47,4.0
189,38,5.0
30,30,4.0
266,6,4.0
199,42,5.0
68,220,4.0
204,55,5.0
279,7,1.0
64,55,4.0
6,0,3.0
201,151,4.0
3,5,2.0
207,7,1.0
23,2,5.0
293,38,5.0
54,55,4.0
250,6,5.0
23,7,3.0
81,6,2.0
282,6,4.0
298,6,2.0
8,0,2.0
306,7,4.0
6,0,4.0
23,3,1.0
6,6,4.0
54,77,4.0
7,5,1.0
0,1,2.0
297,55,2.0
94,55,5.0
278,55,5.0
15,4,3.0
282,42,4.0
6,0,2.0
6,3,3.0
0,7,5.0
19,3,2.0
8,7,3.0
40,56,5.0
0,6,4.0
0,4,3.0
84,7,4.0
201,176,2.0
0,5,3.0
6,3,5.0
23,2,5.0
276,52,4.0
31,27,5.0
208,41,5.0
70,74,1.0
0,0,3.0
211,186,4.0
74,34,4.0
233,42,2.0
183,41,5.0
147,74,4.0
306,6,5.0
222,41,3.0
293,45,3.0
6,2,5.0
275,41,4.0
22,0,2.0
9,0,5.0
66,6,3.0
0,5,2.0
201,159,3.0
11,2,5.0
126,18,4.0
65,75,4.0
177,52,3.0
0,6,5.0
158,106,3.0
214,41,3.0
6,6,4.0
3,5,1.0
183,45,5.0
230,72,5.0
248,63,4.0
22,5,1.0
3,5,2.0
293,129,5.0
295,55,5.0
321,57,1.0
108,73,3.0
8,1,1.0
166,57,5.0
22,0,1.0
259,41,3.0
64,58,4.0
82,57,3.0
289,2,1.0
0,0,3.0
22,0,1.0
206,7,5.0
99,6,3.0
259,52,5.0
290,7,4.0
90,51,4.0
3,4,2.0
272,6,3.0
41,61,4.0
282,61,5.0
282,233,2.0
30,27,4.0
142,35,4.0
76,58,5.0
38,53,3.0
1,2,1.0
196,6,1.0
295,42,2.0
6,7,5.0
271,41,5.0
295,2,3.0
0,0,4.0
201,38,5.0
0,2,5.0
47,72,5.0
15,0,3.0
127,58,5.0
91,53,1.0
32,38,5.0
97,96,5.0
32,6,5.0
23,3,2.0
97,58,5.0
57,14,3.0
138,109,4.0
288,7,4.0
201,67,5.0
35,42,4.0
242,42,3.0
91,52,5.0
8,4,4.0
147,55,5.0
0,2,5.0
178,42,2.0
244,6,3.0
99,63,4.0
278,7,1.0
284,41,5.0
176,52,5.0
7,3,2.0
22,0,1.0
125,6,1.0
11,0,3.0
20,7,3.0
53,6,3.0
149,61,5.0
151,41,1.0
125,7,1.0
97,45,5.0
88,41,4.0
19,4,2.0
6,0,1.0
278,42,3.0
321,36,3.0
32,42,5.0
180,45,3.0
2,0,4.0
46,7,5.0
259,7,4.0
0,3,3.0
83,76,5.0
42,63,5.0
206,55,5.0
15,0,3.0
227,52,2.0
252,55,3.0
6,6,1.0
23,4,3.0
0,0,3.0
99,77,4.0
91,69,2.0
73,67,4.0
323,45,5.0
261,41,4.0
16,5,2.0
6,4,5.0
300,6,4.0
23,6,2.0
12,1,2.0
246,6,5.0
221,55,3.0
18,6,4.0
6,6,3.0
287,41,3.0
6,7,1.0
11,6,5.0
5,4,5.0
125,55,5.0
205,6,3.0
6,5,2.0
286,45,3.0
156,6,4.0
0,7,4.0
140,2,1.0
202,45,4.0
265,55,4.0
43,55,4.0
8,4,4.0
178,41,4.0
8,0,1.0
204,52,1.0
24,6,5.0
234,6,4.0
142,76,4.0
6,6,4.0
16,5,2.0
23,5,3.0
3,3,3.0
176,7,5.0
153,67,4.0
18,3,4.0
6,0,2.0
256,6,4.0
137,45,3.0
87,36,5.0
0,2,5.0
6,0,4.0
178,7,4.0
56,68,4.0
108,58,4.0
282,87,1.0
80,88,3.0
201,149,3.0
268,55,5.0
69,7,1.0
268,42,5.0
2,0,1.0
119,57,4.0
122,6,5.0
254,41,4.0
56,74,3.0
17,0,4.0
23,0,4.0
242,45,3.0
280,2,5.0
221,45,4.0
23,7,5.0
149,41,4.0
154,42,4.0
168,65,4.0
182,45,4.0
222,55,4.0
314,55,3.0
0,6,3.0
48,55,4.0
89,57,3.0
20,0,3.0
74,57,4.0
52,71,5.0
12,1,4.0
119,67,5.0
308,6,4.0
237,6,5.0
20,0,4.0
0,6,4.0
145,65,3.0
293,8,4.0
201,167,3.0
173,41,5.0
6,2,4.0
0,6,4.0
213,55,3.0
84,64,2.0
169,7,4.0
261,52,4.0
0,0,3.0
49,45,4.0
193,6,3.0
129,55,5.0
8,5,1.0
21,5,2.0
268,52,5.0
44,42,3.0
0,3,2.0
109,42,2.0
209,7,3.0
310,52,4.0
59,6,5.0
41,57,4.0
103,42,4.0
187,7,4.0
3,4,3.0
247,52,3.0
98,6,4.0
3,0,3.0
0,0,2.0
0,4,3.0
135,78,4.0
23,0,4.0
227,6,5.0
307,52,5.0
0,2,4.0
93,51,4.0
90,41,5.0
120,58,5.0
262,6,4.0
303,41,4.0
6,2,4.0
6,6,4.0
4,7,5.0
122,101,5.0
242,6,1.0
215,7,2.0
23,0,3.0
23,5,2.0
0,4,4.0
3,5,1.0
11,4,4.0
259,6,4.0
306,55,4.0
89,45,4.0
79,7,2.0
23,5,1.0
6,4,3.0
281,42,1.0
86,35,3.0
7,3,1.0
150,86,2.0
0,6,5.0
46,6,5.0
215,55,5.0
257,41,4.0
48,41,2.0
107,7,5.0
201,157,4.0
162,121,1.0
23,1,2.0
125,36,5.0
23,2,5.0
106,42,2.0
241,55,5.0
120,67,5.0
8,0,1.0
13,1,1.0
144,55,2.0
13,0,4.0
277,52,4.0
201,148,4.0
3,5,2.0
213,52,5.0
4,7,4.0
132,67,4.0
238,42,2.0
289,6,3.0
0,5,3.0
0,0,4.0
233,2,4.0
268,200,2.0
219,2,4.0
151,52,4.0
16,1,5.0
53,41,4.0
86,41,4.0
158,6,3.0
262,7,5.0
68,217,5.0
6,4,5.0
156,41,3.0
13,1,1.0
23,0,2.0
8,6,5.0
10,6,4.0
96,2,5.0
291,52,2.0
282,41,4.0
23,0,3.0
140,64,4.0
171,123,5.0
248,104,5.0
9,7,3.0
18,5,1.0
225,2,1.0
23,0,4.0
141,41,5.0
269,92,4.0
233,52,4.0
233,7,2.0
10,7,5.0
232,2,5.0
23,2,2.0
291,7,5.0
234,42,5.0
141,55,5.0
256,2,5.0
7,1,2.0
205,7,3.0
6,4,4.0
69,58,5.0
318,6,4.0
86,6,4.0
243,45,3.0
7,1,2.0
11,7,3.0
157,42,5.0
285,6,3.0
268,203,4.0
277,45,1.0
190,2,4.0
173,55,5.0
0,4,3.0
219,6,5.0
157,74,5.0
17,0,5.0
20,5,1.0
2,4,3.0
290,52,5.0
11,0,2.0
274,42,1.0
8,6,3.0
173,45,5.0
8,0,1.0
30,22,1.0
11,0,2.0
20,0,3.0
24,7,5.0
192,139,4.0
0,2,4.0
9,0,4.0
0,0,4.0
0,6,4.0
267,127,5.0
0,1,3.0
239,42,3.0
307,240,5.0
201,170,3.0
307,243,4.0
160,60,4.0
115,42,3.0
313,55,5.0
316,7,5.0
13,0,1.0
70,83,2.0
268,7,2.0
20,7,2.0
121,55,4.0
79,65,3.0
183,6,5.0
3,6,4.0
52,6,5.0
176,6,1.0
0,5,2.0
311,6,5.0
18,2,4.0
24,10,4.0
270,60,3.0
67,72,4.0
0,6,5.0
168,61,5.0
55,41,5.0
298,7,2.0
132,6,5.0
144,118,3.0
8,7,3.0
0,0,3.0
72,59,3.0
323,6,4.0
69,78,1.0
268,197,3.0
6,0,1.0
101,52,5.0
41,59,3.0
77,45,3.0
269,7,3.0
8,5,1.0
130,52,5.0
116,34,3.0
8,7,2.0
3,0,3.0
39,41,2.0
307,2,4.0
58,7,3.0
80,91,5.0
291,6,2.0
65,66,4.0
76,65,2.0
18,3,2.0
23,0,3.0
23,5,2.0
182,6,3.0
268,6,4.0
99,52,3.0
8,7,3.0
144,45,4.0
314,151,5.0
204,6,1.0
23,1,3.0
182,41,4.0
30,24,2.0
274,6,4.0
0,0,3.0
6,0,4.0
119,37,5.0
11,0,1.0
0,2,3.0
317,55,4.0
0,1,2.0
81,2,4.0
48,2,2.0
22,0,4.0
270,213,5.0
0,3,3.0
201,168,4.0
238,52,3.0
90,55,3.0
279,42,3.0
16,5,1.0
15,4,1.0
98,55,3.0
151,7,5.0
185,34,3.0
178,45,3.0
129,41,3.0
299,41,5.0
245,104,5.0
206,185,2.0
231,41,4.0
244,55,4.0
279,41,4.0
22,6,4.0
59,35,5.0
144,35,4.0
155,6,4.0
68,65,4.0
268,207,4.0
0,6,4.0
66,52,4.0
18,6,5.0
92,45,5.0
22,6,2.0
293,212,5.0
263,7,5.0
278,45,5.0
240,7,4.0
306,42,3.0
120,6,5.0
265,41,3.0
48,73,2.0
10,0,3.0
47,55,4.0
32,37,5.0
85,59,5.0
35,49,4.0
191,137,5.0
154,41,4.0
201,36,5.0
98,7,2.0
23,3,1.0
8,4,3.0
30,21,4.0
117,55,4.0
270,55,5.0
8,4,1.0
190,7,5.0
51,55,4.0
0,6,3.0
317,7,1.0
310,2,5.0
285,41,5.0
0,1,2.0
289,45,4.0
0,1,4.0
240,55,5.0
68,2,4.0
8,1,1.0
3,5,1.0
87,68,2.0
23,7,3.0
30,25,4.0
215,45,4.0
114,42,3.0
6,5,1.0
175,6,5.0
14,6,5.0
302,55,1.0
111,65,5.0
10,6,4.0
316,6,5.0
97,6,5.0
11,4,2.0
49,7,3.0
283,7,5.0
178,52,2.0
239,52,3.0
32,17,4.0
177,55,4.0
100,42,2.0
310,245,5.0
97,41,5.0
323,42,3.0
43,66,5.0
266,7,4.0
2,3,1.0
280,55,5.0
225,6,5.0
115,55,4.0
81,80,3.0
153,15,4.0
119,58,5.0
2,0,2.0
68,124,5.0
8,4,2.0
9,7,1.0
314,7,3.0
22,6,3.0
83,41,4.0
34,30,4.0
53,58,3.0
208,45,5.0
115,7,4.0
62,2,4.0
38,7,1.0
296,45,4.0
123,102,5.0
265,45,4.0
151,6,3.0
105,66,3.0
0,0,3.0
134,7,3.0
113,42,2.0
120,47,5.0
20,5,1.0
13,4,1.0
10,4,2.0
135,79,5.0
72,68,4.0
17,6,4.0
23,7,4.0
0,7,4.0
99,45,2.0
6,3,2.0
224,45,4.0
82,69,2.0
107,42,3.0
3,2,2.0
308,41,5.0
0,0,4.0
227,7,5.0
119,6,5.0
4,2,4.0
67,65,4.0
23,0,3.0
23,6,4.0
68,13,5.0
230,42,5.0
321,65,2.0
288,42,4.0
161,41,5.0
91,6,1.0
81,55,4.0
197,52,4.0
310,244,1.0
310,202,5.0
282,232,2.0
3,0,2.0
307,104,5.0
270,214,5.0
268,198,3.0
4,6,4.0
203,2,2.0
228,52,4.0
28,6,4.0
297,45,2.0
22,6,1.0
282,230,1.0
0,1,3.0
261,2,4.0
221,188,5.0
113,55,4.0
144,42,4.0
287,6,3.0
0,0,4.0
272,41,5.0
0,7,4.0
52,76,3.0
253,52,4.0
201,142,4.0
281,7,5.0
262,2,5.0
23,2,3.0
4,3,1.0
3,2,4.0
105,42,4.0
22,5,4.0
218,6,5.0
7,5,1.0
128,34,3.0
212,42,5.0
20,0,4.0
261,45,3.0
80,89,4.0
121,98,4.0
23,6,2.0
80,45,4.0
30,29,5.0
111,41,5.0
20,5,2.0
132,2,3.0
9,6,5.0
0,3,3.0
146,41,4.0
324,13,5.0
247,45,3.0
50,56,4.0
23,0,3.0
301,6,2.0
222,2,4.0
129,6,5.0
183,42,5.0
144,6,3.0
106,51,2.0
13,1,1.0
23,7,4.0
161,6,3.0
6,4,1.0
9,6,2.0
0,0,3.0
3,5,3.0
91,13,2.0
291,55,1.0
23,6,3.0
61,45,4.0
0,7,5.0
0,4,4.0
290,52,5.0
0,1,3.0
0,6,4.0
308,2,2.0
168,37,5.0
6,0,3.0
296,52,5.0
198,7,1.0
63,7,3.0
96,67,5.0
180,52,3.0
11,1,4.0
0,3,3.0
61,58,5.0
44,41,4.0
304,52,4.0
153,43,5.0
8,5,1.0
281,2,4.0
23,6,3.0
296,55,2.0
313,247,5.0
8,1,1.0
272,42,3.0
310,0,2.0
200,41,4.0
225,45,4.0
198,6,1.0
181,132,5.0
6,2,1.0
152,6,2.0
20,5,1.0
115,56,3.0
0,2,3.0
0,3,4.0
131,59,4.0
121,99,3.0
317,6,1.0
198,45,5.0
282,226,2.0
7,3,3.0
0,0,4.0
201,181,3.0
17,6,4.0
254,38,5.0
13,0,1.0
50,43,4.0
31,20,5.0
8,2,5.0
11,2,4.0
187,41,4.0
141,6,5.0
184,52,5.0
270,45,3.0
183,55,5.0
0,7,5.0
201,155,4.0
22,2,3.0
208,52,5.0
206,42,5.0
22,6,1.0
10,0,3.0
270,52,5.0
293,35,4.0
32,40,5.0
23,6,3.0
20,0,4.0
23,6,4.0
11,7,2.0
295,74,3.0
177,6,2.0
281,45,2.0
176,41,5.0
166,58,5.0
23,6,2.0
0,2,5.0
207,6,3.0
129,45,4.0
227,42,1.0
243,74,5.0
23,0,4.0
92,6,4.0
52,7,4.0
284,55,4.0
104,41,4.0
277,55,3.0
213,41,5.0
18,2,4.0
307,10,4.0
208,7,2.0
286,42,4.0
294,52,2.0
40,36,5.0
23,0,4.0
23,0,2.0
223,6,3.0
31,32,3.0
195,6,4.0
259,55,4.0
8,7,1.0
13,0,2.0
196,45,2.0
178,2,4.0
112,43,4.0
298,2,1.0
288,41,4.0
201,52,5.0
119,52,5.0
321,74,2.0
16,1,5.0
34,7,5.0
23,7,5.0
245,190,5.0
267,55,4.0
311,2,4.0
126,104,4.0
125,67,5.0
119,45,4.0
24,7,5.0
126,59,3.0
293,52,3.0
8,1,1.0
20,7,3.0
187,136,5.0
8,7,3.0
3,4,3.0
73,45,3.0
2,2,1.0
170,55,4.0
135,65,5.0
201,180,1.0
170,66,4.0
204,41,2.0
276,55,5.0
0,3,3.0
23,1,2.0
36,51,5.0
14,6,5.0
0,2,5.0
52,55,5.0
148,34,5.0
96,41,4.0
112,57,4.0
102,46,5.0
6,1,3.0
297,52,3.0
19,1,4.0
11,5,3.0
21,4,5.0
107,58,3.0
14,6,5.0
177,42,2.0
287,7,3.0
195,55,4.0
5,4,5.0
23,0,3.0
6,7,4.0
13,0,2.0
17,6,5.0
210,42,3.0
236,45,4.0
23,4,3.0
223,7,2.0
140,110,2.0
62,81,4.0
122,41,2.0
71,2,4.0
23,7,4.0
6,4,5.0
119,43,3.0
218,55,5.0
201,169,2.0
42,64,4.0
109,7,4.0
7,7,1.0
38,6,5.0
137,41,3.0
10,7,5.0
94,6,4.0
109,35,5.0
282,222,1.0
84,36,5.0
8,6,4.0
22,2,1.0
36,52,3.0
198,55,5.0
23,0,2.0
124,34,4.0
43,9,2.0
321,6,3.0
264,6,5.0
71,55,4.0
308,45,3.0
101,55,5.0
69,13,5.0
203,55,1.0
243,6,3.0
23,2,2.0
107,2,5.0
321,54,1.0
6,0,2.0
92,41,3.0
15,0,3.0
308,42,4.0
0,1,4.0
0,4,4.0
150,65,3.0
136,107,4.0
23,0,5.0
51,42,4.0
6,4,4.0
321,42,3.0
3,0,3.0
0,0,4.0
270,42,2.0
23,0,4.0
262,55,4.0
201,177,4.0
23,2,5.0
118,6,1.0
269,157,4.0
0,0,5.0
243,55,4.0
300,41,5.0
278,2,1.0
26,9,2.0
231,6,1.0
163,41,3.0
232,42,3.0
233,6,3.0
274,45,3.0
